benchmark,resolution,max_new_tokens,sample_id,source,sdpa_ve_ms,sdpa_e2e_ms,sdpa_ttft_ms,sdpa_tpot_ms,sdpa_f_vision,fa2_ve_ms,fa2_e2e_ms,fa2_ttft_ms,fa2_tpot_ms,guide_ve_ms,guide_e2e_ms,guide_ttft_ms,guide_tpot_ms
chartqa,1792,1024,chartqa_val_112,approximated,359.823,708.685,422.149,22.041,0.507734,157.67,506.532,219.996,22.041,156.025,504.887,218.351,22.041
chartqa,1792,1024,chartqa_val_113,approximated,348.921,3076.968,411.061,20.666,0.113398,155.813,2883.86,217.953,20.666,156.027,2884.074,218.167,20.666
chartqa,1792,1024,chartqa_val_114,approximated,363.646,676.94,425.609,20.944,0.53719,157.657,470.951,219.62,20.944,156.111,469.405,218.074,20.944
chartqa,1792,1024,chartqa_val_115,approximated,365.839,4946.764,428.015,22.481,0.073955,154.553,4735.478,216.729,22.481,156.047,4736.972,218.223,22.481
chartqa,1792,1024,chartqa_val_116,approximated,358.468,552.808,420.762,22.008,0.648449,156.797,351.137,219.091,22.008,156.14,350.48,218.434,22.008
chartqa,1792,1024,chartqa_val_117,approximated,494.708,1390.422,556.764,21.938,0.355797,155.689,1051.403,217.745,21.938,155.959,1051.673,218.015,21.938
chartqa,1792,1024,chartqa_val_118,approximated,368.162,1150.004,430.474,22.485,0.320139,157.982,939.824,220.294,22.485,156.31,938.152,218.622,22.485
chartqa,1792,1024,chartqa_val_119,approximated,359.153,1840.07,420.968,22.173,0.195184,157.921,1638.838,219.736,22.173,156.094,1637.011,217.909,22.173
chartqa,1792,1024,chartqa_val_120,approximated,369.077,1262.283,430.838,22.471,0.292388,156.049,1049.255,217.81,22.471,156.172,1049.378,217.933,22.471
chartqa,1792,1024,chartqa_val_121,approximated,359.692,906.063,421.814,22.011,0.396984,157.96,704.331,220.082,22.011,156.55,702.921,218.672,22.011
chartqa,1792,1024,chartqa_val_122,approximated,376.921,971.235,439.678,20.444,0.388085,155.558,749.872,218.315,20.444,156.123,750.437,218.88,20.444
chartqa,1792,1024,chartqa_val_123,approximated,363.88,2383.698,813.629,22.43,0.152654,156.731,2176.549,606.48,22.43,156.095,2175.913,605.844,22.43
chartqa,1792,1024,chartqa_val_124,approximated,361.312,1423.885,799.185,23.137,0.25375,155.192,1217.765,593.065,23.137,156.093,1218.666,593.966,23.137
chartqa,1792,1024,chartqa_val_125,approximated,365.672,2180.237,428.377,22.175,0.167721,155.002,1969.567,217.707,22.175,156.543,1971.108,219.248,22.175
chartqa,1792,1024,chartqa_val_126,approximated,366.22,766.269,428.449,22.521,0.477926,159.018,559.067,221.247,22.521,155.859,555.908,218.088,22.521
chartqa,1792,1024,chartqa_val_127,approximated,380.181,1263.886,442.956,23.455,0.300803,156.258,1039.963,219.033,23.455,155.886,1039.591,218.661,23.455
chartqa,1792,1024,chartqa_val_128,approximated,356.216,818.45,418.776,21.035,0.435232,155.483,617.717,218.043,21.035,156.014,618.248,218.574,21.035
chartqa,1792,1024,chartqa_val_129,approximated,366.606,1286.983,428.654,22.588,0.284857,156.969,1077.346,219.017,22.588,155.99,1076.367,218.038,22.588
chartqa,1792,1024,chartqa_val_130,approximated,363.713,1169.104,425.62,21.867,0.311104,154.753,960.144,216.66,21.867,156.005,961.396,217.912,21.867
chartqa,1792,1024,chartqa_val_131,approximated,366.279,1900.155,428.262,22.301,0.192763,156.68,1690.556,218.663,22.301,156.055,1689.931,218.038,22.301
chartqa,1792,1024,chartqa_val_132,approximated,349.69,1706.941,411.951,20.887,0.204864,155.079,1512.33,217.34,20.887,156.017,1513.268,218.278,20.887
chartqa,1792,1024,chartqa_val_133,approximated,359.823,2008.347,422.321,21.726,0.179164,155.225,1803.749,217.723,21.726,155.98,1804.504,218.478,21.726
chartqa,1792,1024,chartqa_val_134,approximated,351.536,985.988,414.331,21.172,0.356531,156.159,790.611,218.954,21.172,155.924,790.376,218.719,21.172
chartqa,1792,1024,chartqa_val_135,approximated,352.875,1858.72,415.342,21.543,0.189848,156.427,1662.272,218.894,21.543,155.884,1661.729,218.351,21.543
chartqa,1792,1024,chartqa_val_136,approximated,363.796,874.529,425.813,21.367,0.415991,157.961,668.694,219.978,21.367,156.063,666.796,218.08,21.367
chartqa,1792,1024,chartqa_val_137,approximated,346.865,1302.244,775.341,21.076,0.266359,161.22,1116.599,589.696,21.076,156.218,1111.597,584.694,21.076
chartqa,1792,1024,chartqa_val_138,approximated,362.687,1035.868,425.342,22.612,0.350128,158.137,831.318,220.792,22.612,156.002,829.183,218.657,22.612
chartqa,1792,1024,chartqa_val_139,approximated,355.581,1043.204,418.005,21.559,0.340855,154.857,842.48,217.281,21.559,156.065,843.688,218.489,21.559
chartqa,1792,1024,chartqa_val_140,approximated,375.321,1072.141,439.042,22.611,0.350066,155.972,852.792,219.693,22.611,155.988,852.808,219.709,22.611
chartqa,1792,1024,chartqa_val_141,approximated,372.63,2511.705,435.289,22.327,0.148358,155.135,2294.21,217.794,22.327,155.971,2295.046,218.63,22.327
chartqa,1792,1024,chartqa_val_142,approximated,371.455,1221.905,434.184,22.506,0.303996,154.646,1005.096,217.375,22.506,155.933,1006.383,218.662,22.506
chartqa,1792,1024,chartqa_val_143,approximated,375.747,3591.342,438.073,23.358,0.104626,156.59,3372.185,218.916,23.358,155.989,3371.584,218.315,23.358
chartqa,1792,1024,chartqa_val_144,approximated,376.788,1039.107,439.203,23.073,0.362608,155.789,818.108,218.204,23.073,155.942,818.261,218.357,23.073
chartqa,1792,1024,chartqa_val_145,approximated,367.318,1502.901,429.871,22.355,0.244406,155.507,1291.09,218.06,22.355,156.384,1291.967,218.937,22.355
