benchmark,resolution,max_new_tokens,sample_id,sdpa_ve_ms,sdpa_e2e_ms,sdpa_ttft_ms,sdpa_tpot_ms,sdpa_f_vision,ve_speedup_measured,e2e_speedup_measured,ttft_speedup_measured,tpot_speedup_measured,e2e_speedup_amdahl,tpot_speedup,method
chartqa,1792,1024,chartqa_val_268,376.505,871.646,438.561,22.794,0.431947,0.9934,,,,0.9972,1.0,amdahl
chartqa,1792,1024,chartqa_val_269,352.793,4874.292,415.125,20.644,0.072378,1.0032,,,,1.0002,1.0,amdahl
chartqa,1792,1024,chartqa_val_270,352.214,813.628,414.384,21.013,0.432893,0.9938,,,,0.9973,1.0,amdahl
chartqa,1792,1024,chartqa_val_271,362.477,2638.514,424.552,21.92,0.137379,0.9937,,,,0.9991,1.0,amdahl
chartqa,1792,1024,chartqa_val_272,363.071,1271.965,424.984,22.289,0.285441,0.9977,,,,0.9993,1.0,amdahl
chartqa,1792,1024,chartqa_val_273,365.192,3698.212,427.038,22.56,0.098748,0.9998,,,,1.0,1.0,amdahl
chartqa,1792,1024,chartqa_val_274,372.263,1357.974,434.967,23.075,0.274131,0.9927,,,,0.998,1.0,amdahl
chartqa,1792,1024,chartqa_val_275,364.362,4378.177,426.542,23.109,0.083222,0.9969,,,,0.9997,1.0,amdahl
chartqa,1792,1024,chartqa_val_276,365.116,757.895,427.486,23.601,0.48175,0.9964,,,,0.9983,1.0,amdahl
chartqa,1792,1024,chartqa_val_277,362.367,1056.955,424.623,22.583,0.342841,0.9962,,,,0.9987,1.0,amdahl
chartqa,1792,1024,chartqa_val_278,362.461,723.162,424.627,22.964,0.501216,0.9975,,,,0.9987,1.0,amdahl
chartqa,1792,1024,chartqa_val_279,366.145,1734.26,428.854,22.507,0.211124,0.9962,,,,0.9992,1.0,amdahl
chartqa,1792,1024,chartqa_val_280,365.175,2500.173,427.49,22.529,0.14606,0.994,,,,0.9991,1.0,amdahl
chartqa,1792,1024,chartqa_val_281,366.388,2523.577,428.731,22.525,0.145186,0.9958,,,,0.9994,1.0,amdahl
chartqa,1792,1024,chartqa_val_282,366.177,892.122,431.819,24.226,0.410456,1.0086,,,,1.0035,1.0,amdahl
chartqa,1792,1024,chartqa_val_283,364.976,1631.02,427.327,22.291,0.223771,0.9912,,,,0.998,1.0,amdahl
chartqa,1792,1024,chartqa_val_284,363.606,961.267,426.324,22.289,0.378257,1.0567,,,,1.0207,1.0,amdahl
chartqa,1792,1024,chartqa_val_285,348.884,747.367,411.617,20.984,0.466818,1.0001,,,,1.0,1.0,amdahl
