benchmark,resolution,max_new_tokens,sample_id,source,sdpa_ve_ms,sdpa_prefill_ms,sdpa_ttft_ms,sdpa_decode_ms,sdpa_e2e_ms,sdpa_tpot_ms,sdpa_f_vision,fa2_ve_ms,fa2_prefill_ms,fa2_ttft_ms,fa2_e2e_ms,fa2_tpot_ms,guide_ve_ms,guide_prefill_ms,guide_ttft_ms,guide_e2e_ms,guide_tpot_ms
docvqa,1792,1024,docvqa_57770,approximated,376.808,436.782,439.257,327.499,766.756,23.393,0.491432,156.869,223.093,225.519,553.018,23.393,156.683,223.038,225.553,553.052,23.393
docvqa,1792,1024,docvqa_57771,approximated,373.852,433.389,435.679,1390.416,1826.095,23.566,0.204728,167.93,234.871,238.117,1628.533,23.566,156.821,223.351,225.521,1615.937,23.566
docvqa,1792,1024,docvqa_49579,approximated,405.69,465.608,469.379,388.793,858.172,25.92,0.472737,176.288,242.578,253.172,641.965,25.92,156.863,223.162,225.903,614.696,25.92
docvqa,1792,1024,docvqa_49577,approximated,508.169,567.809,570.096,229.387,799.483,20.853,0.635621,160.881,227.223,229.388,458.775,20.853,156.878,222.789,225.915,455.302,20.853
docvqa,1792,1024,docvqa_49583,approximated,404.297,464.577,467.336,449.737,917.073,23.67,0.440856,157.181,223.714,226.087,675.824,23.67,156.571,223.219,225.438,675.175,23.67
docvqa,1792,1024,docvqa_431,approximated,377.836,437.712,440.7,658.947,1099.647,24.405,0.343597,156.479,226.461,228.641,887.588,24.405,156.79,223.2,225.61,884.557,24.405
docvqa,1792,1024,docvqa_58702,approximated,379.424,438.943,442.388,375.675,818.063,20.871,0.463808,169.667,236.104,242.224,617.899,20.871,156.242,222.572,224.936,600.611,20.871
docvqa,1792,1024,docvqa_49586,approximated,379.918,439.518,442.555,2057.935,2500.49,23.654,0.151937,155.292,221.587,224.28,2282.215,23.654,156.762,230.166,232.696,2290.631,23.654
docvqa,1792,1024,docvqa_432,approximated,395.874,455.304,457.896,402.728,860.624,21.196,0.459985,158.728,225.141,227.745,630.473,21.196,157.053,223.311,225.756,628.484,21.196
docvqa,1792,1024,docvqa_57780,approximated,393.569,453.633,456.358,382.49,838.848,23.906,0.469178,155.358,227.05,229.28,611.77,23.906,156.453,222.836,225.215,607.705,23.906
docvqa,1792,1024,docvqa_57781,approximated,426.913,486.63,490.376,325.144,815.52,23.225,0.523485,157.262,229.962,232.193,557.337,23.225,156.677,223.431,225.95,551.094,23.225
docvqa,1792,1024,docvqa_57782,approximated,380.319,439.971,442.47,2742.856,3185.326,22.482,0.119397,154.608,220.663,222.815,2965.671,22.482,158.111,228.122,232.662,2975.518,22.482
docvqa,1792,1024,docvqa_57783,approximated,379.915,439.391,441.598,386.713,828.311,22.748,0.458663,157.087,223.734,226.594,613.307,22.748,156.527,222.615,224.871,611.584,22.748
docvqa,1792,1024,docvqa_57784,approximated,385.59,445.292,447.542,1129.73,1577.272,25.105,0.244466,159.434,225.641,228.142,1357.872,25.105,156.758,222.812,224.956,1354.686,25.105
docvqa,1792,1024,docvqa_433,approximated,353.898,413.531,416.01,404.865,820.875,22.493,0.431122,157.438,223.765,226.382,631.247,22.493,157.03,224.682,227.069,631.934,22.493
docvqa,1792,1024,docvqa_16826,approximated,439.613,499.188,501.993,886.603,1388.596,21.11,0.316588,155.188,221.33,223.604,1110.207,21.11,157.096,223.377,228.788,1115.391,21.11
docvqa,1792,1024,docvqa_57786,approximated,344.878,404.251,406.459,368.134,774.593,23.008,0.445238,157.719,224.098,227.001,595.135,23.008,156.936,224.552,227.565,595.699,23.008
docvqa,1792,1024,docvqa_49595,approximated,349.101,408.479,410.627,521.118,931.745,20.845,0.374675,155.208,221.569,223.989,745.107,20.845,156.648,226.749,229.956,751.074,20.845
docvqa,1792,1024,docvqa_444,approximated,351.936,411.879,414.216,354.007,768.223,20.824,0.458116,154.342,220.497,222.748,576.755,20.824,156.597,222.962,225.234,579.241,20.824
docvqa,1792,1024,docvqa_16830,approximated,380.708,440.432,443.232,545.47,988.702,24.794,0.385058,158.302,226.081,228.537,774.007,24.794,156.759,223.435,226.134,771.604,24.794
docvqa,1792,1024,docvqa_16831,approximated,377.479,436.942,439.701,571.928,1011.629,25.997,0.37314,173.035,239.686,243.17,815.098,25.997,157.11,223.191,226.469,798.397,25.997
docvqa,1792,1024,docvqa_16832,approximated,353.063,412.86,415.546,322.011,737.557,21.467,0.478693,158.445,224.814,227.225,549.236,21.467,156.686,223.27,225.594,547.605,21.467
docvqa,1792,1024,docvqa_57790,approximated,386.87,446.579,449.299,182.047,631.346,22.756,0.61277,157.498,223.463,225.971,408.018,22.756,156.608,222.841,225.069,407.116,22.756
docvqa,1792,1024,docvqa_57791,approximated,379.989,440.014,442.42,587.012,1029.432,22.577,0.369125,155.99,228.297,230.555,817.567,22.577,156.829,223.368,226.13,813.142,22.577
docvqa,1792,1024,docvqa_16835,approximated,352.329,412.0,415.761,415.803,831.564,21.884,0.423694,179.239,245.713,248.281,664.084,21.884,156.758,222.999,225.896,641.699,21.884
